Variable,Abréviation,Niveau,Unité/Valeur
Albédo,ALBDO,Surface,%
Caractère de précipitation,CHARPCPN,Surface,0=Aucune; 1=Averse; 2=Intermittente; 3=Continue
Composante u du vent,UGRD,10 m au-dessus du niveau du sol,m/s
Composante u du vent,UGRD,100 mb,m/s
Composante u du vent,UGRD,1000 mb,m/s
Composante u du vent,UGRD,1015 mb,m/s
Composante u du vent,UGRD,120 m au-dessus du niveau du sol,m/s
Composante u du vent,UGRD,150 mb,m/s
Composante u du vent,UGRD,175 mb,m/s
Composante u du vent,UGRD,200 mb,m/s
Composante u du vent,UGRD,225 mb,m/s
Composante u du vent,UGRD,250 mb,m/s
Composante u du vent,UGRD,275 mb,m/s
Composante u du vent,UGRD,300 mb,m/s
Composante u du vent,UGRD,350 mb,m/s
Composante u du vent,UGRD,40 m au-dessus du niveau du sol,m/s
Composante u du vent,UGRD,400 mb,m/s
Composante u du vent,UGRD,450 mb,m/s
Composante u du vent,UGRD,50 mb,m/s
Composante u du vent,UGRD,500 mb,m/s
Composante u du vent,UGRD,550 mb,m/s
Composante u du vent,UGRD,600 mb,m/s
Composante u du vent,UGRD,650 mb,m/s
Composante u du vent,UGRD,700 mb,m/s
Composante u du vent,UGRD,750 mb,m/s
Composante u du vent,UGRD,80 m au-dessus du niveau du sol,m/s
Composante u du vent,UGRD,800 mb,m/s
Composante u du vent,UGRD,850 mb,m/s
Composante u du vent,UGRD,875 mb,m/s
Composante u du vent,UGRD,900 mb,m/s
Composante u du vent,UGRD,925 mb,m/s
Composante u du vent,UGRD,950 mb,m/s
Composante u du vent,UGRD,970 mb,m/s
Composante u du vent,UGRD,985 mb,m/s
Composante v du vent,VGRD,10 m au-dessus du niveau du sol,m/s
Composante v du vent,VGRD,100 mb,m/s
Composante v du vent,VGRD,1000 mb,m/s
Composante v du vent,VGRD,1015 mb,m/s
Composante v du vent,VGRD,120 m au-dessus du niveau du sol,m/s
Composante v du vent,VGRD,150 mb,m/s
Composante v du vent,VGRD,175 mb,m/s
Composante v du vent,VGRD,200 mb,m/s
Composante v du vent,VGRD,225 mb,m/s
Composante v du vent,VGRD,250 mb,m/s
Composante v du vent,VGRD,275 mb,m/s
Composante v du vent,VGRD,300 mb,m/s
Composante v du vent,VGRD,350 mb,m/s
Composante v du vent,VGRD,40 m au-dessus du niveau du sol,m/s
Composante v du vent,VGRD,400 mb,m/s
Composante v du vent,VGRD,450 mb,m/s
Composante v du vent,VGRD,50 mb,m/s
Composante v du vent,VGRD,500 mb,m/s
Composante v du vent,VGRD,550 mb,m/s
Composante v du vent,VGRD,600 mb,m/s
Composante v du vent,VGRD,650 mb,m/s
Composante v du vent,VGRD,700 mb,m/s
Composante v du vent,VGRD,750 mb,m/s
Composante v du vent,VGRD,80 m au-dessus du niveau du sol,m/s
Composante v du vent,VGRD,800 mb,m/s
Composante v du vent,VGRD,850 mb,m/s
Composante v du vent,VGRD,875 mb,m/s
Composante v du vent,VGRD,900 mb,m/s
Composante v du vent,VGRD,925 mb,m/s
Composante v du vent,VGRD,950 mb,m/s
Composante v du vent,VGRD,970 mb,m/s
Composante v du vent,VGRD,985 mb,m/s
Contenu volumétrique en glace du sol (équivalent en eau),SOILVIC,Surface,m<sup>3</sup>/m<sup>3</sup>
Couverture nuageuse totale,TCDC,Surface,%
Densité de la neige,SDEN,Surface,kg/m<sup>3</sup>
Densité,DEN,120 m au-dessus du niveau du sol,kg/m<sup>3</sup>
Densité,DEN,40 m au-dessus du niveau du sol,kg/m<sup>3</sup>
Densité,DEN,80 m au-dessus du niveau du sol,kg/m<sup>3</sup>
Direction du vent (d'où il souffle),WDIR,10 m au-dessus du niveau du sol,Degree true
Direction du vent (d'où il souffle),WDIR,100 mb,Degree true
Direction du vent (d'où il souffle),WDIR,1000 mb,Degree true
Direction du vent (d'où il souffle),WDIR,1015 mb,Degree true
Direction du vent (d'où il souffle),WDIR,120 m au-dessus du niveau du sol,Degree true
Direction du vent (d'où il souffle),WDIR,150 mb,Degree true
Direction du vent (d'où il souffle),WDIR,175 mb,Degree true
Direction du vent (d'où il souffle),WDIR,200 mb,Degree true
Direction du vent (d'où il souffle),WDIR,225 mb,Degree true
Direction du vent (d'où il souffle),WDIR,250 mb,Degree true
Direction du vent (d'où il souffle),WDIR,275 mb,Degree true
Direction du vent (d'où il souffle),WDIR,300 mb,Degree true
Direction du vent (d'où il souffle),WDIR,350 mb,Degree true
Direction du vent (d'où il souffle),WDIR,40 m au-dessus du niveau du sol,Degree true
Direction du vent (d'où il souffle),WDIR,400 mb,Degree true
Direction du vent (d'où il souffle),WDIR,450 mb,Degree true
Direction du vent (d'où il souffle),WDIR,50 mb,Degree true
Direction du vent (d'où il souffle),WDIR,500 mb,Degree true
Direction du vent (d'où il souffle),WDIR,550 mb,Degree true
Direction du vent (d'où il souffle),WDIR,600 mb,Degree true
Direction du vent (d'où il souffle),WDIR,650 mb,Degree true
Direction du vent (d'où il souffle),WDIR,700 mb,Degree true
Direction du vent (d'où il souffle),WDIR,750 mb,Degree true
Direction du vent (d'où il souffle),WDIR,80 m au-dessus du niveau du sol,Degree true
Direction du vent (d'où il souffle),WDIR,800 mb,Degree true
Direction du vent (d'où il souffle),WDIR,850 mb,Degree true
Direction du vent (d'où il souffle),WDIR,875 mb,Degree true
Direction du vent (d'où il souffle),WDIR,900 mb,Degree true
Direction du vent (d'où il souffle),WDIR,925 mb,Degree true
Direction du vent (d'où il souffle),WDIR,950 mb,Degree true
Direction du vent (d'où il souffle),WDIR,970 mb,Degree true
Direction du vent (d'où il souffle),WDIR,985 mb,Degree true
Eau précipitable,CWAT,Colonne atmosphérique,kg/m<sup>2</sup>
Flux net d'ondes courtes (surface),NSWRS,Surface,W/m<sup>2</sup>
Flux net d'ondes longues (surface),NLWRS,Surface,W/m<sup>2</sup>
Flux net de chaleur latente,LHTFL,Surface,W/m<sup>2</sup>
Flux net de chaleur sensible,SHTFL,Surface,W/m<sup>2</sup>
Flux radiatif ascendant d'ondes courtes,USWRF,Sommet nominal de l'atmosphère,W/m<sup>2</sup>
Flux radiatif ascendant d'ondes longues,ULWRF,Sommet nominal de l'atmosphère,W/m<sup>2</sup>
Flux radiatif entrant d'ondes courtes,DSWRF,Sommet nominal de l'atmosphère,W/m<sup>2</sup>
Flux radiatif entrant d'ondes courtes,DSWRF,Surface,W/m<sup>2</sup>
Flux radiatif entrant d'ondes longues,DLWRF,Surface,W/m<sup>2</sup>
Hauteur de la couche limite planétaire,HPBL,Surface,m
Hauteur du niveau de la neige,HGTSNLVL,Surface,m
Hauteur géopotentielle,HGT,100 mb,gpm
Hauteur géopotentielle,HGT,1000 mb,gpm
Hauteur géopotentielle,HGT,1015 mb,gpm
Hauteur géopotentielle,HGT,150 mb,gpm
Hauteur géopotentielle,HGT,175 mb,gpm
Hauteur géopotentielle,HGT,200 mb,gpm
Hauteur géopotentielle,HGT,225 mb,gpm
Hauteur géopotentielle,HGT,250 mb,gpm
Hauteur géopotentielle,HGT,275 mb,gpm
Hauteur géopotentielle,HGT,300 mb,gpm
Hauteur géopotentielle,HGT,350 mb,gpm
Hauteur géopotentielle,HGT,400 mb,gpm
Hauteur géopotentielle,HGT,450 mb,gpm
Hauteur géopotentielle,HGT,50 mb,gpm
Hauteur géopotentielle,HGT,500 mb,gpm
Hauteur géopotentielle,HGT,550 mb,gpm
Hauteur géopotentielle,HGT,600 mb,gpm
Hauteur géopotentielle,HGT,650 mb,gpm
Hauteur géopotentielle,HGT,700 mb,gpm
Hauteur géopotentielle,HGT,750 mb,gpm
Hauteur géopotentielle,HGT,800 mb,gpm
Hauteur géopotentielle,HGT,850 mb,gpm
Hauteur géopotentielle,HGT,875 mb,gpm
Hauteur géopotentielle,HGT,900 mb,gpm
Hauteur géopotentielle,HGT,925 mb,gpm
Hauteur géopotentielle,HGT,950 mb,gpm
Hauteur géopotentielle,HGT,970 mb,gpm
Hauteur géopotentielle,HGT,985 mb,gpm
Hauteur géopotentielle,HGT,Surface,gpm
Humidité relative,RH,100 mb,%
Humidité relative,RH,1000 mb,%
Humidité relative,RH,1015 mb,%
Humidité relative,RH,120 m au-dessus du niveau du sol,%
Humidité relative,RH,150 mb,%
Humidité relative,RH,175 mb,%
Humidité relative,RH,2 m au-dessus du niveau du sol,%
Humidité relative,RH,200 mb,%
Humidité relative,RH,225 mb,%
Humidité relative,RH,250 mb,%
Humidité relative,RH,275 mb,%
Humidité relative,RH,300 mb,%
Humidité relative,RH,350 mb,%
Humidité relative,RH,40 m au-dessus du niveau du sol,%
Humidité relative,RH,400 mb,%
Humidité relative,RH,450 mb,%
Humidité relative,RH,50 mb,%
Humidité relative,RH,500 mb,%
Humidité relative,RH,550 mb,%
Humidité relative,RH,600 mb,%
Humidité relative,RH,650 mb,%
Humidité relative,RH,700 mb,%
Humidité relative,RH,750 mb,%
Humidité relative,RH,80 m au-dessus du niveau du sol,%
Humidité relative,RH,800 mb,%
Humidité relative,RH,850 mb,%
Humidité relative,RH,875 mb,%
Humidité relative,RH,900 mb,%
